underlying,spot,atm_strike,expiry,ce_ltp,pe_ltp,ce_iv_pct,pe_iv_pct,straddle_iv,trend,timestamp
DABUR,507.25,505.0,2025-08-28,11.05,6.85,19.22,18.75,18.98,0,2025-08-08T15:57:58.486100
DALBHARAT,2243.4,2240.0,2025-08-28,48.0,43.9,20.55,23.97,22.26,0,2025-08-08T15:57:58.487422
DELHIVERY,464.65,465.0,2025-08-28,12.95,13.4,28.91,32.9,30.9,0,2025-08-08T15:57:58.488732
DIVISLAB,5914.5,5900.0,2025-08-28,153.8,126.45,25.07,26.44,25.76,0,2025-08-08T15:57:58.490049
DIXON,15864.0,15750.0,2025-08-28,585.8,452.5,34.33,36.75,35.54,0,2025-08-08T15:57:58.492454
DLF,747.2,740.0,2025-08-28,23.1,16.8,26.13,31.28,28.7,0,2025-08-08T15:57:58.494011
DMART,4170.1,4150.0,2025-08-28,116.1,87.0,25.69,27.09,26.39,0,2025-08-08T15:57:58.495345
DRREDDY,1211.4,1220.0,2025-08-28,21.25,33.0,20.99,27.6,24.3,0,2025-08-08T15:57:58.496672
EICHERMOT,5663.0,5650.0,2025-08-28,110.45,82.45,18.0,18.87,18.44,0,2025-08-08T15:57:58.498006
ETERNAL,300.9,300.0,2025-08-28,9.05,8.4,29.23,33.9,31.56,0,2025-08-08T15:57:58.499334
EXIDEIND,375.65,375.0,2025-08-28,9.85,9.0,25.72,28.9,27.31,0,2025-08-08T15:57:58.500660
FEDERALBNK,196.35,197.5,2025-08-28,3.25,4.8,19.28,25.27,22.28,0,2025-08-08T15:57:58.501776
FORTIS,897.35,900.0,2025-08-28,22.8,23.5,27.41,28.8,28.1,0,2025-08-08T15:57:58.503103
GAIL,171.15,170.0,2025-08-28,4.85,3.05,25.09,24.66,24.88,0,2025-08-08T15:57:58.504212
GLENMARK,2019.6,2020.0,2025-08-28,66.5,63.0,34.13,35.78,34.96,0,2025-08-08T15:57:58.505538
GMRAIRPORT,89.19,89.0,2025-08-28,2.2,1.9,23.78,26.19,24.98,0,2025-08-08T15:57:58.506861
GODREJCP,1186.1,1180.0,2025-08-28,28.0,22.1,20.81,24.79,22.8,0,2025-08-08T15:57:58.508941
GODREJPROP,1971.9,1950.0,2025-08-28,76.4,51.95,33.97,36.32,35.14,0,2025-08-08T15:57:58.510909
GRANULES,439.55,440.0,2025-08-28,15.85,16.0,38.0,41.01,39.5,0,2025-08-08T15:57:58.512255
GRASIM,2691.6,2700.0,2025-08-28,50.65,58.05,20.32,23.67,22.0,0,2025-08-08T15:57:58.513591
HAL,4440.6,4400.0,2025-08-28,153.05,113.3,30.41,34.41,32.41,0,2025-08-08T15:57:58.515336
HAVELLS,1491.6,1500.0,2025-08-28,20.55,41.35,16.14,28.97,22.56,0,2025-08-08T15:57:58.516667
HCLTECH,1475.7,1480.0,2025-08-28,27.6,29.55,20.08,22.11,21.1,0,2025-08-08T15:57:58.517999
HDFCBANK,1973.9,1980.0,2025-08-28,28.3,28.35,15.42,15.84,15.63,0,2025-08-08T15:57:58.519342
HDFCLIFE,761.55,760.0,2025-08-28,14.75,13.15,18.01,21.71,19.86,0,2025-08-08T15:57:58.520675
HEROMOTOCO,4599.8,4600.0,2025-08-28,104.2,96.4,22.82,24.67,23.74,0,2025-08-08T15:57:58.522004
HFCL,72.95,72.5,2025-08-28,3.0,2.5,39.55,42.56,41.06,0,2025-08-08T15:57:58.523338
HINDALCO,672.75,670.0,2025-08-28,20.75,16.0,29.44,29.93,29.68,0,2025-08-08T15:57:58.525444
HINDPETRO,409.5,410.0,2025-08-28,13.45,11.45,34.6,31.69,33.15,0,2025-08-08T15:57:58.527173
HINDUNILVR,2498.6,2500.0,2025-08-28,46.2,35.7,18.56,17.11,17.84,0,2025-08-08T15:57:58.528480
HINDZINC,420.7,420.0,2025-08-28,10.25,9.2,23.72,26.57,25.14,0,2025-08-08T15:57:58.529775
HUDCO,207.63,210.0,2025-08-28,4.65,8.7,28.4,41.02,34.71,0,2025-08-08T15:57:58.531211
ICICIBANK,1435.9,1440.0,2025-08-28,14.65,25.5,10.79,19.67,15.23,0,2025-08-08T15:57:58.532642
ICICIGI,1894.7,1900.0,2025-08-28,34.6,39.75,19.54,23.21,21.38,0,2025-08-08T15:57:58.534158
ICICIPRULI,610.05,610.0,2025-08-28,13.45,11.5,22.08,22.44,22.26,0,2025-08-08T15:57:58.535592
IDEA,6.51,7.0,2025-08-28,0.15,0.5,53.73,28.74,41.24,0,2025-08-08T15:57:58.537720
IDFCFIRSTB,69.11,69.0,2025-08-28,1.75,1.4,24.81,24.77,24.79,0,2025-08-08T15:57:58.538806
IEX,138.04,137.5,2025-08-28,5.4,4.45,38.63,39.13,38.88,0,2025-08-08T15:57:58.540183
IGL,202.17,200.0,2025-08-28,7.0,4.65,29.59,32.4,30.99,0,2025-08-08T15:57:58.542472
IIFL,448.9,450.0,2025-08-28,13.8,15.4,32.96,37.93,35.44,0,2025-08-08T15:57:58.543946
INDHOTEL,735.75,740.0,2025-08-28,13.9,18.4,21.79,25.93,23.86,0,2025-08-08T15:57:58.545581
INDIANB,650.85,650.0,2025-08-28,15.25,15.9,22.9,29.19,26.04,0,2025-08-08T15:57:58.547531
INDIGO,5769.5,5800.0,2025-08-28,109.0,131.65,21.54,23.82,22.68,0,2025-08-08T15:57:58.549132
INDUSINDBK,782.45,780.0,2025-08-28,23.1,20.75,28.54,32.44,30.49,0,2025-08-08T15:57:58.550815
INDUSTOWER,332.55,335.0,2025-08-28,8.8,10.25,30.85,31.34,31.1,0,2025-08-08T15:57:58.552568
INFY,1423.1,1420.0,2025-08-28,35.5,25.7,24.06,22.66,23.36,0,2025-08-08T15:57:58.554508
IRB,43.52,44.0,2025-08-28,1.35,1.7,37.63,38.16,37.89,0,2025-08-08T15:57:58.556005
IRCTC,718.95,720.0,2025-08-28,16.3,18.15,23.62,28.59,26.1,0,2025-08-08T15:57:58.557537
IREDA,142.32,140.0,2025-08-28,5.65,3.5,31.68,36.88,34.28,0,2025-08-08T15:57:58.560448
IRFC,125.28,125.0,2025-08-28,4.0,3.2,31.69,30.9,31.3,0,2025-08-08T15:57:58.562004
ITC,414.5,415.0,2025-08-28,4.9,4.65,11.63,13.42,12.52,0,2025-08-08T15:57:58.563513
JINDALSTEL,974.1,970.0,2025-08-28,31.0,27.15,30.45,34.49,32.47,0,2025-08-08T15:57:58.564954
JIOFIN,321.15,320.0,2025-08-28,9.25,7.8,27.49,30.23,28.86,0,2025-08-08T15:57:58.566639
JSL,683.4,680.0,2025-08-28,21.15,24.0,29.03,42.86,35.94,0,2025-08-08T15:57:58.568278
JSWENERGY,518.3,520.0,2025-08-28,15.05,15.8,31.54,33.3,32.42,0,2025-08-08T15:57:58.570068
JSWSTEEL,1049.2,1050.0,2025-08-28,26.3,25.15,25.85,27.58,26.72,0,2025-08-08T15:57:58.571834
JUBLFOOD,624.45,620.0,2025-08-28,21.5,15.7,31.6,32.98,32.29,0,2025-08-08T15:57:58.573487
KALYANKJIL,528.1,530.0,2025-08-28,23.0,24.65,47.53,50.78,49.16,0,2025-08-08T15:57:58.575815
KAYNES,5815.5,5800.0,2025-08-28,223.15,212.0,38.51,43.09,40.8,0,2025-08-08T15:57:58.577514
KEI,3840.9,3850.0,2025-08-28,104.0,106.35,28.92,30.76,29.84,0,2025-08-08T15:57:58.579277
KFINTECH,1073.0,1050.0,2025-08-28,49.0,26.85,35.01,39.8,37.4,0,2025-08-08T15:57:58.581526
KOTAKBANK,1952.7,1960.0,2025-08-28,35.85,33.15,20.15,18.33,19.24,0,2025-08-08T15:57:58.583244
KPITTECH,1190.8,1200.0,2025-08-28,24.2,39.95,24.34,34.1,29.22,0,2025-08-08T15:57:58.584874
